City,City_ID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
Oyama, 1853483, JP, 36.3, 139.8, 56.12, 71, 20, 1.12
Ushuaia, 3833367, AR, -54.8, -68.3, 51.8, 50, 40, 4.7
Veldhoven, 2745706, NL, 51.42, 5.4, 51.24, 87, 90, 8.05
Hilo, 5855927, US, 19.73, -155.09, 77.99, 69, 40, 4.7
Mataura, 6201424, NZ, -46.19, 168.86, 46, 96, 100, 1.01
Trelew, 3833883, AR, -43.25, -65.31, 70.75, 21, 0, 24.99
Carnarvon, 2074865, AU, -24.87, 113.63, 69.8, 88, 90, 16.11
Genhe, 2037252, CN, 50.78, 121.52, 29.1, 96, 100, 2.66
La Rioja, 3336897, ES, 42.25, -2.5, 55.71, 87, 75, 8.05
Butaritari, 2110227, KI, 3.07, 172.79, 81.05, 69, 54, 8.97
Tuatapere, 2180815, NZ, -46.13, 167.68, 46, 96, 64, 1.01
Grand-Santi, 3381538, GF, 4.25, -54.38, 94.37, 38, 100, 4.79
Hobart, 2163355, AU, -42.88, 147.33, 41.95, 70, 90, 5.82
Denpasar, 1645528, ID, -8.65, 115.22, 80.6, 88, 40, 5.82
Rome, 5134295, US, 43.21, -75.46, 49.35, 45, 1, 2.46
Isangel, 2136825, VU, -19.55, 169.27, 73.87, 80, 10, 9.51
Bonthe, 2409914, SL, 7.53, -12.51, 79.7, 80, 32, 5.99
Port Lincoln, 2063036, AU, -34.73, 135.87, 52.86, 63, 79, 16.58
Jamestown, 5122534, US, 42.1, -79.24, 45.34, 70, 90, 9.17
Tasiilaq, 3424607, GL, 65.61, -37.64, 32, 98, 100, 3.36
Naze, 1855540, JP, 28.37, 129.48, 66.2, 82, 90, 2.24
Arraial do Cabo, 3471451, BR, -22.97, -42.03, 73.4, 73, 75, 9.17
Bredasdorp, 1015776, ZA, -34.53, 20.04, 64.4, 63, 100, 4.7
Pevek, 2122090, RU, 69.7, 170.31, 26.73, 97, 100, 5.95
Sittwe, 1295765, MM, 20.15, 92.9, 79.79, 82, 0, 3.74
Punta Arenas, 3874787, CL, -53.15, -70.92, 46.2, 75, 40, 6.93
Copiapó, 3893656, CL, -27.37, -70.33, 69.8, 49, 0, 12.75
Dikson, 1507390, RU, 73.51, 80.55, 17.8, 97, 100, 14.05
Khandyga, 2022773, RU, 62.67, 135.6, 5.5, 93, 0, 1.59
Havøysund, 779622, NO, 71, 24.66, 33.8, 74, 20, 40.26
Bluff, 2206939, NZ, -46.6, 168.33, 46, 96, 41, 1.01
Rikitea, 4030556, PF, -23.12, -134.97, 73.22, 80, 100, 18.48
Hasaki, 2112802, JP, 35.73, 140.83, 47.71, 100, 20, 1.12
Davila, 1715335, PH, 18.47, 120.58, 80.6, 88, 75, 11.41
Saskylakh, 2017155, RU, 71.92, 114.08, 9.1, 93, 100, 12.66
Correntina, 3465373, BR, -13.34, -44.64, 77.97, 69, 92, 5.97
Hobyo, 57000, SO, 5.35, 48.53, 80.19, 80, 0, 11.03
Cape Town, 3369157, ZA, -33.93, 18.42, 61.3, 77, 20, 19.46
Arrondissement de Blois, 3032212, FR, 47.58, 1.33, 50, 93, 100, 4.7
Huambo, 3348313, AO, -12.78, 15.74, 72.77, 40, 98, 4.07
Pasni, 1168312, PK, 25.26, 63.47, 76.84, 33, 0, 21.32
Fortuna, 5563839, US, 40.6, -124.16, 54.82, 76, 90, 3.36
